grid_code,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
0,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
0,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
0,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
0,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
0,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
0,RUS,Russia,RUS.4_1,Arkhangel'sk,Region
0,RUS,Russia,RUS.4_1,Arkhangel'sk,Region
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,CAN,Canada,CAN.8_1,Nunavut,Territory
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
1,GRL,Greenland,GRL.2_1,Northeast Greenland National Park,National Park
